id,ActualTime,WatchTimeStamp,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Esense TimeStamp,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense
7172,10:55.2,2025-06-23T13:10:55.262128,1.158793569,-0.691924274,9.58638382,-0.002443461,-0.00122173,0,2025-06-23T13:10:55.226,1232,-5368,6950,63,-104,80
7173,10:55.3,2025-06-23T13:10:55.362236,1.173158884,-0.735019922,9.686940193,0.009773844,0.002443461,0.00122173,2025-06-23T13:10:55.319,1236,-5369,6945,58,-124,58
7174,10:55.4,2025-06-23T13:10:55.362236,1.173158884,-0.735019922,9.686940193,0.009773844,0.002443461,0.00122173,2025-06-23T13:10:55.413,1230,-5350,6935,69,-122,57
7175,10:55.5,2025-06-23T13:10:55.563856,1.142034173,-0.739808321,9.643844604,-0.004886922,-0.003665192,0.00122173,2025-06-23T13:10:55.496,1239,-5361,6954,70,-122,58
7176,10:55.6,2025-06-23T13:10:55.563856,1.142034173,-0.739808321,9.643844604,-0.004886922,-0.003665192,0.00122173,2025-06-23T13:10:55.585,1235,-5361,6934,66,-123,58
7177,10:55.7,2025-06-23T13:10:55.662805,1.098938584,-0.70628953,9.634267807,0.009773844,0.002443461,0,2025-06-23T13:10:55.585,1235,-5361,6934,66,-123,58
7178,10:55.8,2025-06-23T13:10:55.862571,1.15400517,-0.727837324,9.648633003,-0.007330383,-0.003665192,0,2025-06-23T13:10:55.783,1236,-5371,6944,62,-126,55
7179,10:55.9,2025-06-23T13:10:55.962922,1.161187768,-0.785298169,9.629479408,0.012217305,-0.00122173,0,2025-06-23T13:10:55.859,1230,-5350,6945,76,-126,55
7180,10:56.0,2025-06-23T13:10:55.962922,1.161187768,-0.785298169,9.629479408,0.012217305,-0.00122173,0,2025-06-23T13:10:56.029,1238,-5356,6942,79,-117,60
7181,10:56.1,2025-06-23T13:10:56.069052,1.132457376,-0.677559078,9.615114212,0.013439035,-0.002443461,0,2025-06-23T13:10:56.122,1235,-5366,6940,57,-115,64
7182,10:56.2,2025-06-23T13:10:56.262691,1.072602391,-0.620098233,9.545681953,0.013439035,-0.002443461,0,2025-06-23T13:10:56.122,1235,-5366,6940,57,-115,64
7183,10:56.4,2025-06-23T13:10:56.262691,1.072602391,-0.620098233,9.545681953,0.013439035,-0.002443461,0,2025-06-23T13:10:56.318,1230,-5361,6947,73,120,44
7184,10:56.4,2025-06-23T13:10:56.462551,1.149216771,-0.718260527,9.564835548,-0.009773844,-0.00122173,0,2025-06-23T13:10:56.391,1233,-5360,6948,61,-109,73
7185,10:56.5,2025-06-23T13:10:56.562288,1.125274777,-0.701501071,9.581595421,0.012217305,-0.00122173,0.00122173,2025-06-23T13:10:56.491,1235,-5364,6950,71,127,49
7186,10:56.6,2025-06-23T13:10:56.662083,1.144428372,-0.703895271,9.648633003,-0.00122173,0,-0.00122173,2025-06-23T13:10:56.569,1233,-5358,6945,73,-127,52
7187,10:56.7,2025-06-23T13:10:56.662083,1.144428372,-0.703895271,9.648633003,-0.00122173,0,-0.00122173,2025-06-23T13:10:56.665,1234,-5360,6937,63,-119,60
7188,10:56.8,2025-06-23T13:10:56.862894,1.221042871,-0.727837324,9.653421402,0.007330383,0.00122173,0,2025-06-23T13:10:56.758,1235,-5363,6938,64,-126,53
7189,10:56.9,2025-06-23T13:10:56.963592,1.122880578,-0.687135875,9.600749016,0.003665192,0.00122173,0,2025-06-23T13:10:56.868,1229,-5371,6947,58,-117,64
7190,10:57.0,2025-06-23T13:10:57.062521,1.149216771,-0.711077929,9.631873131,-0.004886922,-0.003665192,0,2025-06-23T13:10:57.030,1237,-5363,6943,59,-112,65
7191,10:57.2,2025-06-23T13:10:57.062521,1.149216771,-0.711077929,9.631873131,-0.004886922,-0.003665192,0,2025-06-23T13:10:57.115,1225,-5371,6932,58,-118,64
7192,10:57.2,2025-06-23T13:10:57.162985,1.098938584,-0.675164878,9.619902611,0.004886922,0,0,2025-06-23T13:10:57.206,1239,-5364,6945,61,-118,60
7193,10:57.3,2025-06-23T13:10:57.362925,1.149216771,-0.696712673,9.691728592,-0.004886922,0,0,2025-06-23T13:10:57.290,1237,-5370,6948,61,123,50
7194,10:57.4,2025-06-23T13:10:57.462850,1.175553083,-0.735019922,9.677363396,0.004886922,0,0.00122173,2025-06-23T13:10:57.391,1230,-5370,6934,58,-105,75
7195,10:57.5,2025-06-23T13:10:57.563015,1.130063176,-0.792480767,9.622296333,0.004886922,0,0,2025-06-23T13:10:57.492,1238,-5372,6949,68,-116,65
7196,10:57.6,2025-06-23T13:10:57.662944,1.106121182,-0.703895271,9.634267807,-0.003665192,0.003665192,0,2025-06-23T13:10:57.492,1238,-5372,6949,68,-116,65
7197,10:57.7,2025-06-23T13:10:57.763001,1.134851575,-0.691924274,9.617507935,0,-0.002443461,0.00122173,2025-06-23T13:10:57.677,1230,-5363,6945,69,-108,60
7198,10:57.8,2025-06-23T13:10:57.763001,1.134851575,-0.691924274,9.617507935,0,-0.002443461,0.00122173,2025-06-23T13:10:57.830,1231,-5368,6953,62,-113,67
7199,10:57.9,2025-06-23T13:10:57.863055,1.063025594,-0.746990919,9.619902611,0.008552114,0.006108652,0,2025-06-23T13:10:57.847,1230,-5359,6944,69,127,51
7200,10:58.0,2025-06-23T13:10:58.063119,1.142034173,-0.677559078,9.62469101,-0.00122173,-0.004886922,0,2025-06-23T13:10:58.027,1236,-5376,6942,56,-108,75
7201,10:58.1,2025-06-23T13:10:58.162823,1.199495077,-0.732625723,9.607931137,0.012217305,0.00122173,0,2025-06-23T13:10:58.105,1225,-5359,6939,72,125,51
7202,10:58.2,2025-06-23T13:10:58.162823,1.199495077,-0.732625723,9.607931137,0.012217305,0.00122173,0,2025-06-23T13:10:58.201,1235,-5369,6944,63,124,53
7203,10:58.3,2025-06-23T13:10:58.363923,1.134851575,-0.81881696,9.619902611,-0.00122173,-0.003665192,-0.00122173,2025-06-23T13:10:58.283,1233,-5361,6927,63,-128,54
7204,10:58.4,2025-06-23T13:10:58.462704,1.18752408,-0.679953277,9.651026726,0.012217305,-0.00122173,0,2025-06-23T13:10:58.388,1237,-5368,6943,66,-116,66
7205,10:58.5,2025-06-23T13:10:58.562982,1.182735682,-0.682347476,9.631873131,-0.006108652,-0.003665192,-0.00122173,2025-06-23T13:10:58.489,1238,-5366,6948,62,119,43
7206,10:58.6,2025-06-23T13:10:58.562982,1.182735682,-0.682347476,9.631873131,-0.006108652,-0.003665192,-0.00122173,2025-06-23T13:10:58.564,1225,-5351,6949,79,-126,52
7207,10:58.7,2025-06-23T13:10:58.762831,1.089361787,-0.694318473,9.607931137,0.013439035,0,-0.00122173,2025-06-23T13:10:58.730,1237,-5358,6948,72,125,50
7208,10:58.8,2025-06-23T13:10:58.863216,1.18752408,-0.718260527,9.564835548,-0.004886922,-0.003665192,-0.00122173,2025-06-23T13:10:58.830,1234,-5358,6951,77,105,29
7209,10:58.9,2025-06-23T13:10:58.962966,1.139639974,-0.689530075,9.660603523,-0.004886922,-0.006108652,0,2025-06-23T13:10:58.930,1235,-5367,6939,61,-122,56
7210,10:59.0,2025-06-23T13:10:59.062788,1.11569798,-0.766144514,9.639056206,0.012217305,-0.00122173,-0.00122173,2025-06-23T13:10:58.999,1227,-5364,6954,73,-123,58
7211,10:59.1,2025-06-23T13:10:59.162634,1.125274777,-0.703895271,9.62469101,-0.003665192,-0.006108652,0,2025-06-23T13:10:59.088,1229,-5363,6950,71,107,30
7212,10:59.2,2025-06-23T13:10:59.262872,1.204283476,-0.708683729,9.595960617,0.007330383,-0.003665192,-0.00122173,2025-06-23T13:10:59.185,1232,-5349,6945,74,115,40
7213,10:59.3,2025-06-23T13:10:59.362721,1.18991828,-0.648828685,9.605537415,0.012217305,0,0.00122173,2025-06-23T13:10:59.280,1227,-5358,6947,71,-110,69
7214,10:59.4,2025-06-23T13:10:59.464798,1.146822572,-0.689530075,9.610325813,-0.002443461,-0.002443461,-0.00122173,2025-06-23T13:10:59.364,1240,-5358,6934,60,-128,52
7215,10:59.5,2025-06-23T13:10:59.464798,1.146822572,-0.689530075,9.610325813,-0.002443461,-0.002443461,-0.00122173,2025-06-23T13:10:59.476,1234,-5355,6951,75,106,28
7216,10:59.6,2025-06-23T13:10:59.464798,1.146822572,-0.689530075,9.610325813,-0.002443461,-0.002443461,-0.00122173,2025-06-23T13:10:59.632,1231,-5361,6954,62,121,47
7217,10:59.7,2025-06-23T13:10:59.763878,1.15161097,-0.665588081,9.658209801,-0.003665192,0.002443461,-0.00122173,2025-06-23T13:10:59.730,1232,-5361,6948,66,-102,78
7218,10:59.8,2025-06-23T13:10:59.862755,1.22583127,-0.701501071,9.631873131,-0.002443461,-0.00122173,0,2025-06-23T13:10:59.733,1231,-5366,6940,74,-120,60
